#Band Mode Definitions
#Mode is used for the user needs filter
#
#Band  Mode    Lower     Upper
.001   CW        135       137
160    CW       1800      1850
160    SSB      1850      2000
80     CW       3500      3580
80     CW       3580      3700
80     SSB      3700      4000
60     SSB      5260      5405
40     CW       7000      7040
40     RTTY     7040      7100
40     SSB      7100      7300
30     CW      10100     10130
30     RTTY    10130     10150
20     CW      14000     14070
20     RTTY    14070     14150
20     SSB     14150     14350
17     CW      18068     18100
17     RTTY    18100     18110
17     SSB     18110     18168
15     CW      21000     21070
15     RTTY    21070     21200
15     SSB     21200     21450
12     CW      24890     24920
12     RTTY    24920     24930
12     SSB     24930     24990
10     CW      28000     28070
10     RTTY    28070     28300
10     SSB     28300     29700
6      CW      50000     50100
6      SSB     50100     51000
6      FM      51000     54000
4      CW      70000     70500
2      CW     144000    144100
2      SSB    144100    145000
2      FM     145000    148000
1      CW     220000    221000
1      SSB    221000    222000
1      FM     222000    224000
.07    CW     420000    433000
.07    SSB    433000    442000
.07    FM     442000    450000
